source,month,uer
1,1921.41666666667,0.0540356181855264
1,1921.5,0.0538336784368783
1,1921.58333333333,0.0535980820634521
1,1921.66666666667,0.0533288290652509
1,1921.75,0.0530259194422758
1,1921.83333333333,0.0526893531945265
1,1921.91666666667,0.0523191303220038
1,1922,0.0519152508246985
1,1922.08333333333,0.0513817992467214
1,1922.16666666667,0.0507187755880616
1,1922.25,0.0499261798487175
1,1922.33333333333,0.0490040120286977
1,1922.41666666667,0.0479522721280034
1,1922.5,0.0467709601466212
1,1922.58333333333,0.0454600760845628
1,1922.66666666667,0.0440196199418281
1,1922.75,0.0424495917184081
1,1922.83333333333,0.0407499914143107
1,1922.91666666667,0.0389208190295322
1,1923,0.0369620745640763
1,1923.08333333333,0.0353353646019476
1,1923.16666666667,0.0340406891431408
1,1923.25,0.0330780481876677
1,1923.33333333333,0.0324474417355155
1,1923.41666666667,0.032148869786689
1,1923.5,0.0321823323411931
1,1923.58333333333,0.0325478293990228
1,1923.66666666667,0.0332453609601803
1,1923.75,0.034274927024659
1,1923.83333333333,0.0356365275924717
1,1923.91666666667,0.0373301626636057
1,1924,0.0393558322380694
1,1924.08333333333,0.0411841890056363
1,1924.16666666667,0.042815232966316
1,1924.25,0.0442489641201053
1,1924.33333333333,0.0454853824669961
1,1924.41666666667,0.0465244880069964
1,1924.5,0.0473662807401065
1,1924.58333333333,0.0480107606663228
1,1924.66666666667,0.0484579277856473
1,1924.75,0.0487077820980797
1,1924.83333333333,0.0487603236036219
1,1924.91666666667,0.0486155523022689
1,1925,0.0482734681940274
1,1925.08333333333,0.0478670962844398
1,1925.16666666667,0.0473964365735109
1,1925.25,0.0468614890612384
1,1925.33333333333,0.0462622537476235
1,1925.41666666667,0.045598730632665
1,1925.5,0.0448709197163639
1,1925.58333333333,0.0440788209987209
1,1925.66666666667,0.0432224344797327
1,1925.75,0.0423017601594013
1,1925.83333333333,0.041316798037732
1,1925.91666666667,0.0402675481147166
1,1926,0.0391540103903591
1,1926.08333333333,0.0380102262923035
1,1926.16666666667,0.0368361958205584
1,1926.25,0.0356319189751189
1,1926.33333333333,0.034397395755985
1,1926.41666666667,0.0331326261631574
1,1926.5,0.0318376101966336
1,1926.58333333333,0.0305123478564202
1,1926.66666666667,0.0291568391425071
1,1926.75,0.0277710840549048
1,1926.83333333333,0.0263550825936047
1,1926.91666666667,0.0249088347586151
1,1927,0.0234323405499298
1,1927.08333333333,0.022120795555138
1,1927.16666666667,0.0209741997742449
1,1927.25,0.0199925532072473
1,1927.33333333333,0.0191758558541465
1,1927.41666666667,0.0185241077149432
1,1927.5,0.0180373087896352
1,1927.58333333333,0.0177154590782178
1,1927.66666666667,0.0175585585807052
1,1927.75,0.0175666072970826
1,1927.83333333333,0.0177396052273567
1,1927.91666666667,0.0180775523715335
1,1928,0.0185804487295974
1,1928.08333333333,0.0190743920933037
1,1928.16666666667,0.019559382462645
1,1928.25,0.0200354198376292
1,1928.33333333333,0.0205025042182518
1,1928.41666666667,0.0209606356045101
1,1928.5,0.0214098139964088
1,1928.58333333333,0.0218500393939387
1,1928.66666666667,0.0222813117971151
1,1928.75,0.0227036312059256
1,1928.83333333333,0.0231169976203727
1,1928.91666666667,0.0235214110404605
1,1929,0.0239168714661855
1,1929.08333333333,0.0248429773964839
1,1929.16666666667,0.0262997288313599
1,1929.25,0.0282871257708033
1,1929.33333333333,0.0308051682148258
1,1929.41666666667,0.0338538561634165
1,1929.5,0.0374331896165853
1,1929.58333333333,0.0415431685743235
1,1929.66666666667,0.0461837930366419
1,1929.75,0.0513550630035292
1,1929.83333333333,0.0570569784749887
1,1929.91666666667,0.0632895394510307
1,1930,0.0700527459316384
1,1930.08333333333,0.0761839540944165
1,1930.16666666667,0.0816831639393632
1,1930.25,0.0865503754664802
1,1930.33333333333,0.0907855886757641
1,1930.41666666667,0.0943888035672177
1,1930.5,0.0973600201408392
1,1930.58333333333,0.0996992383966325
1,1930.66666666667,0.101406458334591
1,1930.75,0.102481679954718
1,1930.83333333333,0.102924903257013
1,1930.91666666667,0.102736128241482
1,1931,0.101915354908117
1,1931.08333333333,0.101733003410786
1,1931.16666666667,0.102189073749482
1,1931.25,0.103283565924208
1,1931.33333333333,0.105016479934967
1,1931.41666666667,0.107387815781756
1,1931.5,0.110397573464579
1,1931.58333333333,0.114045752983432
1,1931.66666666667,0.118332354338311
1,1931.75,0.123257377529225
1,1931.83333333333,0.12882082255617
1,1931.91666666667,0.135022689419146
1,1932,0.14186297811815
1,1932.08333333333,0.148282047601939
1,1932.16666666667,0.154279897870516
1,1932.25,0.159856528923869
1,1932.33333333333,0.165011940762004
1,1932.41666666667,0.169746133384927
1,1932.5,0.174059106792632
1,1932.58333333333,0.17795086098512
1,1932.66666666667,0.181421395962389
1,1932.75,0.184470711724441
1,1932.83333333333,0.187098808271279
1,1932.91666666667,0.189305685602902
1,1933,0.191091343719304
1,1933.08333333333,0.192239688240203
1,1933.16666666667,0.192750719165596
1,1933.25,0.192624436495486
1,1933.33333333333,0.191860840229874
1,1933.41666666667,0.19045993036876
1,1933.5,0.18842170691214
1,1933.58333333333,0.185746169860018
1,1933.66666666667,0.182433319212393
1,1933.75,0.178483154969263
1,1933.83333333333,0.173895677130633
1,1933.91666666667,0.168670885696499
1,1934,0.162808780666857
1,1934.08333333333,0.157526758993701
1,1934.16666666667,0.152824820677023
1,1934.25,0.148702965716836
1,1934.33333333333,0.14516119411313
1,1934.41666666667,0.142199505865901
1,1934.5,0.139817900975159
1,1934.58333333333,0.138016379440899
